PROY0017_03	Perú	Respuestas	Excluido por negocio	XXX																	
PROY0030_05	Chile	Pago a proveedores	En Penny Test	PRO		XMLV3								41951							
PROY0030_05	Chile	Respuestas	En Penny Test	XXX		XMLV3								41951							
PROY0030_06	Argentina	Otros servicios no disponibles	Excluido por Timeout	XXX	Órdenes urgentes																
PROY0030_06	Argentina	Respuestas	Excluido por Timeout	XXX																	
PROY0031_01	Argentina	Pago a proveedores	Implementado con OK	PAP	Aunque se cierra el Alcance el 4/4 al hacer el C100 se pide informacion que faltaba en el alcance por lo que se elimina esa fecha de cierre.					41809				41874				41781		41801	41809
PROY0031_01	Argentina	Nóminas	Parado por negocio	NOM	Aunque se cierra el Alcance el 4/4 al hacer el C100 se pide informacion que faltaba en el alcance por lo que se elimina esa fecha de cierre.					41809								41781		41801	41809
PROY0031_01	Argentina	Transferencias	Parado por negocio	TRA	Aunque se cierra el Alcance el 4/4 al hacer el C100 se pide informacion que faltaba en el alcance por lo que se elimina esa fecha de cierre.					41809								41781		41801	41809
PROY0031_01	Chile	Pago a proveedores	Parado por negocio	PRO	Aunque se cierra el Alcance el 4/4 al hacer el C100 se pide informacion que faltaba en el alcance por lo que se elimina esa fecha de cierre.													41781			
PROY0031_01	Chile	Nóminas	Parado por negocio	NMA	Aunque se cierra el Alcance el 4/4 al hacer el C100 se pide informacion que faltaba en el alcance por lo que se elimina esa fecha de cierre.													41781			
PROY0031_01	Chile	Transferencias domésticas	Parado por negocio	TRN	Aunque se cierra el Alcance el 4/4 al hacer el C100 se pide informacion que faltaba en el alcance por lo que se elimina esa fecha de cierre.													41781			
PROY0031_02	Perú	Pago a Proveedores	Excluido por Timeout	M03																	
PROY0031_02	Perú	Nóminas	Excluido por Timeout	M02																	
PROY0031_02	Perú	Transferencias Domésticas	Excluido por Timeout	M01																	
PROY0031_02	Colombia	Pago a proveedores	Excluido por Timeout	PRO																	
PROY0031_02	Colombia	Nóminas	Excluido por Timeout	NMA																	
PROY0031_02	Colombia	Transferencias	Excluido por Timeout	TRN																	
PROY0032_00	Bélgica	Saldos y movimientos	Implementado con OK	MT940					BBVAESMMREL												
PROY0032_01	Bélgica	Movimientos del día en fichero (MT942)	Implementado con OK	MT942					BBVAESMMREL												
PROY0032_01	España	Euroconfirming	Implementado con OK	CNR		XML v.3	CNR Propietario		10000000011												
PROY0032_01	España	Transferencias EUR (FIT)	Implementado con OK	FIT	Se desconoce fecha exacta de implantación.	XML v.3	FIT Propietario		10000000011					40909							
PROY0032_01	España	Transferencias urgentes (OMF)	Implementado con OK	OMF		XML v.3	AEB 34		10000000011												
PROY0032_01	España	Transferencias internacionales	Implementado con OK	TIN			TIN Propietario		10000000011												
PROY0032_01	España	Transferencias en fichero 34.1	Implementado con OK	TR1		XML v.3	AEB 34.1		10000000011												
